"PC";"error";"type"
"1";1;0.454;"PCA"
"2";2;0.407333333333333;"PCA"
"3";3;0.347333333333333;"PCA"
"4";4;0.38;"PCA"
"5";5;0.331333333333333;"PCA"
"6";6;0.353333333333333;"PCA"
"7";7;0.32;"PCA"
"8";8;0.303333333333333;"PCA"
"9";9;0.302666666666667;"PCA"
"10";10;0.279333333333333;"PCA"
"11";11;0.299333333333333;"PCA"
"12";12;0.268;"PCA"
"13";13;0.274;"PCA"
"14";14;0.252;"PCA"
"15";15;0.252;"PCA"
"16";16;0.243333333333333;"PCA"
"17";17;0.249333333333333;"PCA"
"18";18;0.248666666666667;"PCA"
"19";19;0.238666666666667;"PCA"
"20";20;0.228;"PCA"
"21";21;0.204;"PCA"
"22";22;0.258;"PCA"
"23";23;0.225333333333333;"PCA"
"24";24;0.218;"PCA"
"25";25;0.236;"PCA"
"26";26;0.231333333333333;"PCA"
"27";27;0.207333333333333;"PCA"
"28";28;0.217333333333333;"PCA"
"29";29;0.221333333333333;"PCA"
"30";30;0.230666666666667;"PCA"
"31";1;0.216666666666667;"NON-PCA"
"32";2;0.216666666666667;"NON-PCA"
"33";3;0.216666666666667;"NON-PCA"
"34";4;0.216666666666667;"NON-PCA"
"35";5;0.216666666666667;"NON-PCA"
"36";6;0.216666666666667;"NON-PCA"
"37";7;0.216666666666667;"NON-PCA"
"38";8;0.216666666666667;"NON-PCA"
"39";9;0.216666666666667;"NON-PCA"
"40";10;0.216666666666667;"NON-PCA"
"41";11;0.216666666666667;"NON-PCA"
"42";12;0.216666666666667;"NON-PCA"
"43";13;0.216666666666667;"NON-PCA"
"44";14;0.216666666666667;"NON-PCA"
"45";15;0.216666666666667;"NON-PCA"
"46";16;0.216666666666667;"NON-PCA"
"47";17;0.216666666666667;"NON-PCA"
"48";18;0.216666666666667;"NON-PCA"
"49";19;0.216666666666667;"NON-PCA"
"50";20;0.216666666666667;"NON-PCA"
"51";21;0.216666666666667;"NON-PCA"
"52";22;0.216666666666667;"NON-PCA"
"53";23;0.216666666666667;"NON-PCA"
"54";24;0.216666666666667;"NON-PCA"
"55";25;0.216666666666667;"NON-PCA"
"56";26;0.216666666666667;"NON-PCA"
"57";27;0.216666666666667;"NON-PCA"
"58";28;0.216666666666667;"NON-PCA"
"59";29;0.216666666666667;"NON-PCA"
"60";30;0.216666666666667;"NON-PCA"
